sample_alias	instrument_model	library_name	library_source	library_selection	library_strategy	design_description	library_construction_protocol	file_name
P7A	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zw1.fastq.gz
P3A	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zw2.fastq.gz
P2A	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zw3.fastq.gz
P4A	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zw4.fastq.gz
P5A	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zw5.fastq.gz
P1A	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zw6.fastq.gz
P6A	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zw7.fastq.gz
P8O	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zy1.fastq.gz
P3O	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zy2.fastq.gz
P2O	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zy3.fastq.gz
P4O	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zy4.fastq.gz
P5O	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zy5.fastq.gz
P1O	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zy6.fastq.gz
P6O	Illumina MiSeq		OTHER	PCR	AMPLICON	Arch347F-Arch806R PCR		zy7.fastq.gz
