sample_alias	instrument_model	library_name	library_source	library_selection	library_strategy	design_description	library_construction_protocol	file_name
P7A	Illumina MiSeq		OTHER	PCR	AMPLICON			H183.fastq.gz
P3A	Illumina MiSeq		OTHER	PCR	AMPLICON			H184.fastq.gz
P2A	Illumina MiSeq		OTHER	PCR	AMPLICON			H185.fastq.gz
P4A	Illumina MiSeq		OTHER	PCR	AMPLICON			H186.fastq.gz
P5A	Illumina MiSeq		OTHER	PCR	AMPLICON			H187.fastq.gz
P1A	Illumina MiSeq		OTHER	PCR	AMPLICON			H188.fastq.gz
P6A	Illumina MiSeq		OTHER	PCR	AMPLICON			H189.fastq.gz
P8O	Illumina MiSeq		OTHER	PCR	AMPLICON			H190.fastq.gz
P3O	Illumina MiSeq		OTHER	PCR	AMPLICON			H191.fastq.gz
P2O	Illumina MiSeq		OTHER	PCR	AMPLICON			H192.fastq.gz
P4O	Illumina MiSeq		OTHER	PCR	AMPLICON			H193.fastq.gz
P5O	Illumina MiSeq		OTHER	PCR	AMPLICON			H194.fastq.gz
P1O	Illumina MiSeq		OTHER	PCR	AMPLICON			H195.fastq.gz
P6O	Illumina MiSeq		OTHER	PCR	AMPLICON			H196.fastq.gz
